city,month,type,value
七台河,201601.csv,AQI,60.94
七台河,201601.csv,CO,1.0
七台河,201601.csv,NO2,18.47
七台河,201601.csv,O3,19.48
七台河,201601.csv,PM10,62.47
七台河,201601.csv,PM2.5,35.22
七台河,201601.csv,SO2,6.54
三亚,201601.csv,AQI,30.57
三亚,201601.csv,CO,0.8
三亚,201601.csv,NO2,16.99
三亚,201601.csv,O3,55.06
三亚,201601.csv,PM10,27.98
三亚,201601.csv,PM2.5,15.59
三亚,201601.csv,SO2,3.28
三明,201601.csv,AQI,46.34
三明,201601.csv,CO,1.46
三明,201601.csv,NO2,27.87
三明,201601.csv,O3,20.42
三明,201601.csv,PM10,46.26
三明,201601.csv,PM2.5,29.7
三明,201601.csv,SO2,21.66
三门峡,201601.csv,AQI,171.36
三门峡,201601.csv,CO,2.94
三门峡,201601.csv,NO2,59.32
三门峡,201601.csv,O3,28.08
三门峡,201601.csv,PM10,202.33
三门峡,201601.csv,PM2.5,132.11
三门峡,201601.csv,SO2,73.07
上海,201601.csv,AQI,95.85
上海,201601.csv,CO,1.03
上海,201601.csv,NO2,56.86
上海,201601.csv,O3,50.68
上海,201601.csv,PM10,86.19
上海,201601.csv,PM2.5,69.87
上海,201601.csv,SO2,24.0
上饶,201601.csv,AQI,66.94
上饶,201601.csv,CO,0.78
上饶,201601.csv,NO2,44.57
上饶,201601.csv,O3,31.1
上饶,201601.csv,PM10,81.95
上饶,201601.csv,PM2.5,41.38
上饶,201601.csv,SO2,32.05
东莞,201601.csv,AQI,50.39
东莞,201601.csv,CO,0.97
东莞,201601.csv,NO2,35.81
东莞,201601.csv,O3,31.6
东莞,201601.csv,PM10,46.15
东莞,201601.csv,PM2.5,35.06
东莞,201601.csv,SO2,13.79
东营,201601.csv,AQI,124.21
东营,201601.csv,CO,1.36
东营,201601.csv,NO2,52.29
东营,201601.csv,O3,30.81
东营,201601.csv,PM10,135.75
东营,201601.csv,PM2.5,92.21
东营,201601.csv,SO2,65.29
中卫,201601.csv,AQI,88.38
中卫,201601.csv,CO,0.84
中卫,201601.csv,NO2,25.54
中卫,201601.csv,O3,45.14
中卫,201601.csv,PM10,88.41
中卫,201601.csv,PM2.5,57.17
中卫,201601.csv,SO2,84.77
中山,201601.csv,AQI,49.99
中山,201601.csv,CO,1.21
中山,201601.csv,NO2,40.98
中山,201601.csv,O3,23.19
中山,201601.csv,PM10,50.79
中山,201601.csv,PM2.5,33.1
中山,201601.csv,SO2,13.07
临夏州,201601.csv,AQI,67.24
临夏州,201601.csv,CO,1.93
临夏州,201601.csv,NO2,37.04
临夏州,201601.csv,O3,43.82
临夏州,201601.csv,PM10,77.26
临夏州,201601.csv,PM2.5,46.07
临夏州,201601.csv,SO2,30.79
临安,201601.csv,AQI,91.33
临安,201601.csv,CO,1.08
临安,201601.csv,NO2,52.62
临安,201601.csv,O3,75.14
临安,201601.csv,PM10,107.97
临安,201601.csv,PM2.5,63.5
临安,201601.csv,SO2,12.42
临汾,201601.csv,AQI,137.66
临汾,201601.csv,CO,3.99
临汾,201601.csv,NO2,45.57
临汾,201601.csv,O3,24.77
临汾,201601.csv,PM10,136.79
临汾,201601.csv,PM2.5,105.38
临汾,201601.csv,SO2,75.51
临沂,201601.csv,AQI,171.66
临沂,201601.csv,CO,1.98
临沂,201601.csv,NO2,65.65
临沂,201601.csv,O3,26.44
临沂,201601.csv,PM10,215.86
临沂,201601.csv,PM2.5,131.82
临沂,201601.csv,SO2,60.99
临沧,201601.csv,AQI,47.56
临沧,201601.csv,CO,1.07
临沧,201601.csv,NO2,18.37
临沧,201601.csv,O3,50.15
临沧,201601.csv,PM10,45.67
临沧,201601.csv,PM2.5,31.05
临沧,201601.csv,SO2,9.4
