date,hour,type,city,value
20240810,0,AQI,北京,22.0
20240810,0,PM2.5,北京,3.0
20240810,0,PM2.5_24h,北京,31.0
20240810,0,PM10,北京,6.0
20240810,0,PM10_24h,北京,47.0
20240810,0,SO2,北京,3.0
20240810,0,SO2_24h,北京,3.0
20240810,0,NO2,北京,8.0
20240810,0,NO2_24h,北京,14.0
20240810,0,O3,北京,71.0
20240810,0,O3_8h,北京,110.0
20240810,0,O3_8h_24h,北京,83.0
20240810,0,CO,北京,0.64
20240810,0,CO_24h,北京,0.72
20240810,1,AQI,北京,20.0
20240810,1,PM2.5,北京,3.0
20240810,1,PM2.5_24h,北京,30.0
20240810,1,PM10,北京,6.0
20240810,1,PM10_24h,北京,45.0
20240810,1,SO2,北京,3.0
20240810,1,SO2_24h,北京,3.0
20240810,1,NO2,北京,9.0
20240810,1,NO2_24h,北京,14.0
20240810,1,O3,北京,64.0
20240810,1,O3_8h,北京,98.0
20240810,1,CO,北京,0.61
20240810,1,CO_24h,北京,0.72
20240810,2,AQI,北京,19.0
20240810,2,PM2.5,北京,4.0
20240810,2,PM2.5_24h,北京,28.0
20240810,2,PM10,北京,7.0
20240810,2,PM10_24h,北京,42.0
20240810,2,SO2,北京,3.0
20240810,2,SO2_24h,北京,3.0
20240810,2,NO2,北京,9.0
20240810,2,NO2_24h,北京,13.0
20240810,2,O3,北京,60.0
20240810,2,CO,北京,0.6
20240810,2,CO_24h,北京,0.73
20240810,3,AQI,北京,18.0
20240810,3,PM2.5,北京,4.0
20240810,3,PM2.5_24h,北京,27.0
20240810,3,PM10,北京,7.0
20240810,3,PM10_24h,北京,39.0
20240810,3,SO2,北京,3.0
20240810,3,SO2_24h,北京,3.0
20240810,3,NO2,北京,8.0
20240810,3,NO2_24h,北京,12.0
20240810,3,O3,北京,58.0
20240810,3,CO,北京,0.6
20240810,3,CO_24h,北京,0.73
20240810,4,AQI,北京,18.0
20240810,4,PM2.5,北京,4.0
20240810,4,PM2.5_24h,北京,25.0
20240810,4,PM10,北京,7.0
20240810,4,PM10_24h,北京,37.0
20240810,4,SO2,北京,3.0
20240810,4,SO2_24h,北京,3.0
20240810,4,NO2,北京,8.0
20240810,4,NO2_24h,北京,12.0
20240810,4,O3,北京,56.0
20240810,4,CO,北京,0.6
20240810,4,CO_24h,北京,0.74
20240810,5,AQI,北京,16.0
20240810,5,PM2.5,北京,5.0
20240810,5,PM2.5_24h,北京,23.0
20240810,5,PM10,北京,8.0
20240810,5,PM10_24h,北京,34.0
20240810,5,SO2,北京,3.0
20240810,5,SO2_24h,北京,3.0
20240810,5,NO2,北京,9.0
20240810,5,NO2_24h,北京,11.0
20240810,5,O3,北京,50.0
20240810,5,CO,北京,0.6
20240810,5,CO_24h,北京,0.73
20240810,6,AQI,北京,14.0
20240810,6,PM2.5,北京,5.0
20240810,6,PM2.5_24h,北京,21.0
20240810,6,PM10,北京,8.0
20240810,6,PM10_24h,北京,31.0
20240810,6,SO2,北京,3.0
20240810,6,SO2_24h,北京,3.0
20240810,6,NO2,北京,10.0
20240810,6,NO2_24h,北京,11.0
20240810,6,O3,北京,45.0
20240810,6,CO,北京,0.6
20240810,6,CO_24h,北京,0.74
20240810,7,AQI,北京,13.0
20240810,7,PM2.5,北京,4.0
20240810,7,PM2.5_24h,北京,19.0
20240810,7,PM10,北京,7.0
20240810,7,PM10_24h,北京,28.0
20240810,7,SO2,北京,3.0
20240810,7,SO2_24h,北京,3.0
20240810,7,NO2,北京,13.0
20240810,7,NO2_24h,北京,10.0
